model,split,roc_auc,roc_auc_ci_low,roc_auc_ci_high,gini,average_precision,brier_score,log_loss,ks,mean_probability_bad
Logistic Regression,validation,0.8097619047619048,0.7396592863362432,0.8707557475544963,0.6195238095238096,0.6988816579095496,0.15163605005418243,0.4668369230913608,0.5357142857142857,0.3239824585819591
Logistic Regression,test,0.7340476190476191,0.6539676269523022,0.8102930455562138,0.4680952380952381,0.5740010191667255,0.18145728037366995,0.549157041120964,0.3547619047619047,0.3128515611516298
Calibrated Gradient Boosting,validation,0.8094047619047618,0.7447025089605734,0.8699725102518798,0.6188095238095237,0.6352508579650218,0.15993523822122352,0.48934543010645615,0.5357142857142858,0.3292690674812495
Calibrated Gradient Boosting,test,0.7635714285714286,0.689095785440613,0.8342039033715675,0.5271428571428571,0.6125815570291453,0.17134951407108262,0.5160564445602595,0.3857142857142857,0.31491603966875414
