audit_dimension,group,n,good_n,bad_n,selection_rate,selection_rate_ci_low,selection_rate_ci_high,good_applicant_approval_rate,bad_applicant_approval_rate,observed_bad_rate,mean_adjusted_probability_bad,small_sample_warning
age_group,25_plus,165,122,43,0.6181818181818182,0.5421620447601734,0.6888238770175881,0.7131147540983607,0.3488372093023256,0.2606060606060606,0.17049359160098573,False
age_group,under_25,35,18,17,0.4857142857142857,0.32994236002509725,0.6443119540413141,0.6111111111111112,0.35294117647058826,0.4857142857142857,0.19788509004527233,True
worker_group,foreign_worker,6,5,1,0.8333333333333334,0.43649717781352987,0.9699466302516935,1.0,0.0,0.16666666666666666,0.13409737593567003,True
worker_group,not_foreign_worker,194,135,59,0.5876288659793815,0.5173124478459307,0.6545423302307644,0.6888888888888889,0.3559322033898305,0.30412371134020616,0.1765610129388307,False
